title,href,dealDate,totalPrice,positionInfo,unitPrice,dealHouseTxt
当代国际城 2室2厅 83.59平米,https://wh.lianjia.com/chengjiao/104105838394.html,2021.02.20,163万,高楼层(共30层) 2016年建板楼,19500元/平,近地铁
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104105739938.html,2021.01.30,167万,低楼层(共30层) 2017年建板楼,19917元/平,近地铁
当代国际城 3室2厅 112.4平米,https://wh.lianjia.com/chengjiao/104105641926.html,2021.01.22,228万,高楼层(共30层) 2017年建板楼,20285元/平,房屋满两年近地铁
当代国际城 2室1厅 83.85平米,https://wh.lianjia.com/chengjiao/104105681921.html,2021.01.20,158万,中楼层(共30层) 2017年建板楼,18844元/平,近地铁
当代国际城 3室2厅 112.17平米,https://wh.lianjia.com/chengjiao/104105679463.html,2021.01.10,235万,高楼层(共30层) 2016年建板楼,20951元/平,房屋满两年近地铁
当代国际城 3室1厅 112.67平米,https://wh.lianjia.com/chengjiao/104105473167.html,2020.12.28,214万,高楼层(共29层) 2017年建板楼,18994元/平,近地铁
当代国际城 3室2厅 103.19平米,https://wh.lianjia.com/chengjiao/104104628158.html,2020.12.27,212万,低楼层(共11层) 2016年建板楼,20545元/平,房屋满两年近地铁
当代国际城 3室2厅 112.25平米,https://wh.lianjia.com/chengjiao/104105532533.html,2020.12.19,233万,高楼层(共30层) 2016年建板楼,20758元/平,
当代国际城 3室2厅 112.36平米,https://wh.lianjia.com/chengjiao/104105475996.html,2020.12.19,228万,中楼层(共30层) 2017年建板楼,20248元/平,近地铁
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104105475731.html,2020.12.12,174万,高楼层(共30层) 2017年建板楼,20692元/平,近地铁
当代国际城 3室2厅 118.53平米,https://wh.lianjia.com/chengjiao/104105530252.html,2020.12.10,217万,高楼层(共11层) 2017年建板楼,18308元/平,近地铁
当代国际城 2室2厅 83.82平米,https://wh.lianjia.com/chengjiao/104103558900.html,2020.12.05,169万,低楼层(共30层) 2017年建板楼,20139元/平,近地铁
当代国际城 2室2厅 83.82平米,https://wh.lianjia.com/chengjiao/104104990406.html,2020.12.05,154万,中楼层(共30层) 2017年建板楼,18349元/平,近地铁
当代国际城 3室2厅 103.28平米,https://wh.lianjia.com/chengjiao/104105140514.html,2020.11.24,205万,高楼层(共11层) 2017年建板楼,19849元/平,近地铁
当代国际城 3室2厅 118.82平米,https://wh.lianjia.com/chengjiao/104105044970.html,2020.11.24,253万,高楼层(共11层) 2016年建板楼,21283元/平,近地铁
当代国际城 3室2厅 102平米,https://wh.lianjia.com/chengjiao/104104481608.html,2020.11.22,228万,高楼层(共11层) 2018年建板楼,22353元/平,近地铁
当代国际城 3室2厅 103.28平米,https://wh.lianjia.com/chengjiao/104105098116.html,2020.11.08,238万,中楼层(共11层) 2017年建板楼,23045元/平,近地铁
当代国际城 3室2厅 112.4平米,https://wh.lianjia.com/chengjiao/104105345703.html,2020.11.08,230万,中楼层(共30层) 2018年建板楼,20463元/平,近地铁
