title,href,dealDate,totalPrice,positionInfo,unitPrice,dealHouseTxt
金地艺境 4室2厅 123平米,https://wh.lianjia.com/chengjiao/104105824333.html,2021.02.04,280万,中楼层(共34层) 2015年建板楼,22765元/平,近地铁
金地艺境 2室2厅 88.27平米,https://wh.lianjia.com/chengjiao/104104942625.html,2021.02.01,170万,中楼层(共32层) 2015年建板楼,19203元/平,房屋满两年近地铁
金地艺境 3室2厅 112.47平米,https://wh.lianjia.com/chengjiao/104104528251.html,2021.01.31,230万,高楼层(共32层) 2014年建板楼,20450元/平,房屋满两年近地铁
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104105488148.html,2021.01.26,171万,高楼层(共30层) 2014年建板楼,19184元/平,房屋满两年
金地艺境 4室2厅 122.48平米,https://wh.lianjia.com/chengjiao/104102791643.html,2021.01.24,260万,中楼层(共30层) 2014年建板楼,21212元/平,房屋满五年
金地艺境 2室2厅 88.91平米,https://wh.lianjia.com/chengjiao/104105495050.html,2021.01.20,172万,高楼层(共30层) 2014年建板楼,19346元/平,房屋满两年
金地艺境 2室2厅 88.19平米,https://wh.lianjia.com/chengjiao/104105537068.html,2021.01.19,174万,低楼层(共32层) 2014年建板楼,19674元/平,房屋满两年
金地艺境 2室2厅 89.23平米,https://wh.lianjia.com/chengjiao/104105424545.html,2021.01.15,169万,高楼层(共30层) 2013年建板楼,18940元/平,房屋满五年
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104105609160.html,2021.01.13,170万,高楼层(共30层) 2014年建板楼,19072元/平,房屋满两年
金地艺境 3室2厅 107.17平米,https://wh.lianjia.com/chengjiao/104105498536.html,2021.01.08,300万,中楼层(共6层) 2015年建板楼,27993元/平,房屋满两年
金地艺境 4室2厅 144.92平米,https://wh.lianjia.com/chengjiao/104104506564.html,2021.01.03,335万,中楼层(共34层) 2014年建板楼,23117元/平,房屋满两年近地铁
金地艺境 2室1厅 88.61平米,https://wh.lianjia.com/chengjiao/104104898704.html,2020.12.20,169万,中楼层(共34层) 2013年建板楼,19073元/平,房屋满两年近地铁
金地艺境 4室2厅 123.01平米,https://wh.lianjia.com/chengjiao/104105284281.html,2020.11.30,247万,低楼层(共32层) 2015年建板楼,20080元/平,房屋满两年近地铁
金地艺境 4室2厅 123.52平米,https://wh.lianjia.com/chengjiao/104105260758.html,2020.11.24,257万,高楼层(共32层) 2014年建板楼,20766元/平,房屋满五年
金地艺境 4室2厅 122.88平米,https://wh.lianjia.com/chengjiao/104105321471.html,2020.11.22,275万,中楼层(共30层) 2013年建板楼,22380元/平,房屋满五年
金地艺境 4室2厅 125.33平米,https://wh.lianjia.com/chengjiao/104104999376.html,2020.11.22,249万,中楼层(共32层) 2014年建板楼,19868元/平,房屋满五年近地铁
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104104717137.html,2020.11.17,164万,中楼层(共30层) 2014年建板楼,18399元/平,房屋满两年
金地艺境 4室2厅 122.29平米,https://wh.lianjia.com/chengjiao/104104525426.html,2020.11.15,265万,中楼层(共34层) 2014年建板楼,21670元/平,房屋满两年
金地艺境 3室2厅 109.87平米,https://wh.lianjia.com/chengjiao/104105167426.html,2020.11.10,243万,高楼层(共30层) 2013年建板楼,22118元/平,房屋满五年
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104104819221.html,2020.10.25,164万,中楼层(共32层) 2014年建板楼,18257元/平,房屋满两年近地铁
金地艺境 3室2厅 110.77平米,https://wh.lianjia.com/chengjiao/104104808454.html,2020.10.20,243万,中楼层(共34层) 2014年建板楼,21920元/平,房屋满两年近地铁
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104102971943.html,2020.10.19,172万,中楼层(共30层) 2014年建板楼,19296元/平,房屋满两年
金地艺境 4室2厅 122.88平米,https://wh.lianjia.com/chengjiao/104104798756.html,2020.10.19,276万,低楼层(共30层) 2013年建板楼,22461元/平,房屋满两年
金地艺境 4室3厅 215.79平米,https://wh.lianjia.com/chengjiao/104101862753.html,2020.10.18,565万,低楼层(共6层) 2013年建板楼,26183元/平,房屋满两年
金地艺境 2室2厅 88.2平米,https://wh.lianjia.com/chengjiao/104105203231.html,2020.10.18,169万,高楼层(共34层) 2013年建板楼,19139元/平,房屋满两年近地铁
金地艺境 2室2厅 88.91平米,https://wh.lianjia.com/chengjiao/104104840409.html,2020.10.14,169万,中楼层(共30层) 2014年建板楼,18952元/平,房屋满两年
金地艺境 4室2厅 122.48平米,https://wh.lianjia.com/chengjiao/104105011199.html,2020.10.09,246万,高楼层(共30层) 2014年建板楼,20085元/平,房屋满五年
金地艺境 2室2厅 89.2平米,https://wh.lianjia.com/chengjiao/104105145446.html,2020.10.08,170万,低楼层(共34层) 2014年建板楼,19059元/平,房屋满两年
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104104750546.html,2020.10.07,164万,中楼层(共32层) 2014年建板楼,18335元/平,房屋满两年近地铁
金地艺境 2室2厅 88.04平米,https://wh.lianjia.com/chengjiao/104104801434.html,2020.10.03,165万,低楼层(共32层) 2015年建板楼,18719元/平,房屋满两年近地铁
金地艺境 2室2厅 89.47平米,https://wh.lianjia.com/chengjiao/104104958429.html,2020.09.29,168万,低楼层(共30层) 2013年建板楼,18778元/平,房屋满五年
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104103539282.html,2020.09.17,159万,高楼层(共32层) 2014年建板楼,17776元/平,房屋满两年近地铁
金地艺境 2室2厅 89.21平米,https://wh.lianjia.com/chengjiao/104104812813.html,2020.09.13,172万,中楼层(共32层) 2014年建板楼,19236元/平,房屋满两年近地铁
金地艺境 3室2厅 110.77平米,https://wh.lianjia.com/chengjiao/104104029156.html,2020.09.05,233万,中楼层(共34层) 2014年建板楼,21035元/平,房屋满两年近地铁
金地艺境 3室2厅 108.94平米,https://wh.lianjia.com/chengjiao/104103287364.html,2020.09.03,279万,中楼层(共6层) 2015年建板楼,25593元/平,房屋满两年
金地艺境 4室2厅 147.48平米,https://wh.lianjia.com/chengjiao/104104348986.html,2020.08.30,360万,中楼层(共11层) 2014年建板楼,24411元/平,房屋满五年
金地艺境 2室2厅 88.27平米,https://wh.lianjia.com/chengjiao/104104587698.html,2020.08.23,160万,高楼层(共32层) 2015年建板楼,18127元/平,房屋满五年近地铁
金地艺境 2室2厅 88.19平米,https://wh.lianjia.com/chengjiao/104104542354.html,2020.08.17,173万,低楼层(共32层) 2014年建板楼,19572元/平,房屋满五年
金地艺境 4室2厅 147.2平米,https://wh.lianjia.com/chengjiao/104103364473.html,2020.08.16,366万,低楼层(共11层) 2014年建板楼,24865元/平,房屋满五年
